ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Caribou Munroes,NS ,CANADA ,3,1,4,Full,CampsitePermit,Less than 40ft,07/24/2016,07/25/2016,1,1
Battery,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/29/2016,07/30/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,08/24/2016,08/26/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,08/17/2016,08/18/2016,1,1
Porters Lake,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,10/03/2016,10/04/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,08/19/2016,08/21/2016,2,1
Blomidon,PE ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,07/04/2016,07/05/2016,1,1
Porters Lake,NS ,CANADA ,5,1,6,Full,CampsitePermit,Less than 20ft,08/28/2016,08/31/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,06/10/2016,06/12/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/06/2016,08/07/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,07/23/2016,07/28/2016,5,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,07/29/2016,08/01/2016,3,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,07/27/2016,07/28/2016,1,1
Laurie,ON ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,08/20/2016,08/21/2016,1,1
Smileys,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,07/15/2016,07/17/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/18/2016,08/19/2016,1,1
Thomas Raddall,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,08/03/2016,08/05/2016,2,1
Mira River,NS ,CANADA ,2,,2,FULL,CampsitePermit,Less than 20ft,07/30/2016,08/06/2016,7,1
Battery,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 20ft,07/22/2016,07/25/2016,3,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,08/26/2016,08/28/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,08/19/2016,08/21/2016,2,1
